Year,Make,Model,Detailed_model,Price,Mileage,Website
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2017,Hyundai,Sonata,2.0T Limited FWD,14988,34504,CG
2018,Hyundai,Sonata,2.0T Limited FWD,19980,16270,CG
2018,Hyundai,Sonata,SEL FWD,16500,1909,CG
2007,Hyundai,Sonata,V6 SE FWD,2795,123974,CG
2016,Hyundai,Sonata,Used,12477,21937,CG
2016,Hyundai,Sonata,Limited FWD Used,14777,31412,CG
2008,Hyundai,Sonata,Limited FWD,4995,86700,CG
2011,Hyundai,Sonata,GLS FWD,6995,63000,CG
2018,Hyundai,Sonata,SEL FWD,15899,17250,CG
2017,Hyundai,Sonata,SE FWD Used,13900,13100,CG
2016,Hyundai,Sonata,SE FWD Used,9995,79998,CG
2015,Hyundai,Sonata,2.0T Limited FWD,15500,34429,CG
2014,Hyundai,Sonata,GLS FWD Used,8888,60741,CG
2014,Hyundai,Sonata,Limited FWD,9999,77001,CG
2013,Hyundai,Sonata,GLS FWD,7975,79981,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
2018,Honda,Accord,1.5T Sport FWD,21421,10358,CG
2016,Honda,Accord,Sport,15000,42351,CG
2018,Honda,Accord,2.0T Sport FWD,22717,27874,CG
2018,Honda,Accord,1.5T LX FWD,18999,4884,CG
2016,Honda,Accord,LX,13999,23893,CG
2017,Honda,Accord,EX-L FWD Used,17980,31736,CG
2014,Honda,Accord,EX-L w/ Nav,12995,51000,CG
2018,Honda,Accord,2.0T Touring FWD,27000,13120,CG
2017,Honda,Accord,LX FWD,13995,34505,CG
2017,Honda,Accord,V6 EX-L FWD,19999,21128,CG
2018,Honda,Accord,2.0T Touring FWD,24900,30333,CG
2018,Honda,Accord,1.5T Sport FWD,20989,19526,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
2018,Honda,Accord,1.5T Sport FWD,21421,10358,CG
2016,Honda,Accord,Sport,15000,42351,CG
2018,Honda,Accord,2.0T Sport FWD,22717,27874,CG
2018,Honda,Accord,1.5T LX FWD,18999,4884,CG
2016,Honda,Accord,LX,13999,23893,CG
2017,Honda,Accord,EX-L FWD Used,17980,31736,CG
2014,Honda,Accord,EX-L w/ Nav,12995,51000,CG
2018,Honda,Accord,2.0T Touring FWD,27000,13120,CG
2017,Honda,Accord,LX FWD,13995,34505,CG
2017,Honda,Accord,V6 EX-L FWD,19999,21128,CG
2018,Honda,Accord,2.0T Touring FWD,24900,30333,CG
2018,Honda,Accord,1.5T Sport FWD,20989,19526,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
2018,Honda,Accord,1.5T Sport FWD,21421,10358,CG
2016,Honda,Accord,Sport,15000,42351,CG
2018,Honda,Accord,2.0T Sport FWD,22717,27874,CG
2018,Honda,Accord,1.5T LX FWD,18999,4884,CG
2016,Honda,Accord,LX,13999,23893,CG
2017,Honda,Accord,EX-L FWD Used,17980,31736,CG
2014,Honda,Accord,EX-L w/ Nav,12995,51000,CG
2018,Honda,Accord,2.0T Touring FWD,27000,13120,CG
2017,Honda,Accord,LX FWD,13995,34505,CG
2017,Honda,Accord,V6 EX-L FWD,19999,21128,CG
2018,Honda,Accord,2.0T Touring FWD,24900,30333,CG
2018,Honda,Accord,1.5T Sport FWD,20989,19526,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
2018,Honda,Accord,1.5T Sport FWD,21421,10358,CG
2016,Honda,Accord,Sport,15000,42351,CG
2018,Honda,Accord,2.0T Sport FWD,22717,27874,CG
2018,Honda,Accord,1.5T LX FWD,18999,4884,CG
2016,Honda,Accord,LX,13999,23893,CG
2017,Honda,Accord,EX-L FWD Used,17980,31736,CG
2014,Honda,Accord,EX-L w/ Nav,12995,51000,CG
2018,Honda,Accord,2.0T Touring FWD,27000,13120,CG
2017,Honda,Accord,LX FWD,13995,34505,CG
2017,Honda,Accord,V6 EX-L FWD,19999,21128,CG
2018,Honda,Accord,2.0T Touring FWD,24900,30333,CG
2018,Honda,Accord,1.5T Sport FWD,20989,19526,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
2018,Honda,Accord,1.5T Sport FWD,21421,10358,CG
2016,Honda,Accord,Sport,15000,42351,CG
2018,Honda,Accord,2.0T Sport FWD,22717,27874,CG
2018,Honda,Accord,1.5T LX FWD,18999,4884,CG
2016,Honda,Accord,LX,13999,23893,CG
2017,Honda,Accord,EX-L FWD Used,17980,31736,CG
2014,Honda,Accord,EX-L w/ Nav,12995,51000,CG
2018,Honda,Accord,2.0T Touring FWD,27000,13120,CG
2017,Honda,Accord,LX FWD,13995,34505,CG
2017,Honda,Accord,V6 EX-L FWD,19999,21128,CG
2018,Honda,Accord,2.0T Touring FWD,24900,30333,CG
2018,Honda,Accord,1.5T Sport FWD,20989,19526,CG
2014,Honda,Accord,,8900,120000,CG
2017,Honda,Accord,Sport SE FWD,17922,16222,CG
2017,Honda,Accord,EX-L FWD,17995,20700,CG
